Profile of container sha256:015f433317e1d09c502545800e2e473d2fc3a250df3ba1b4d81f8759e92810bd was created at 2019-07-14T08:38:59.706823716. size: 101.
timeStamp,time,user,system,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-07-14T08:40:19.963757302Z,80260,24924,18,80252,251869413303,29411839030,31268752327,32145438001,31516063304,32013157642,31222001750,32204125399,32088035850,2420,0,0,19,0,0,0,0
2019-07-14T08:40:20.966476584Z,81261,25561,18,81255,258331208185,30219250192,32075542535,32953339737,32318249422,32818694532,32033267915,33014416126,32898447726,2420,0,0,19,0,0,0,0
2019-07-14T08:40:21.969088Z,82273,26205,18,82258,264878667592,31038156730,32892615530,33771982917,33132352114,33636807995,32853904049,33834983742,33717864515,2420,0,0,19,0,0,0,0
2019-07-14T08:40:22.971652825Z,83262,26861,18,83260,271490233114,31865529994,33719199583,34600163232,33959519321,34451289794,33682987701,34665137070,34546406419,2420,0,0,19,0,0,0,0
2019-07-14T08:40:23.978865278Z,84270,27530,18,84267,278223063762,32707567139,34555940116,35443073054,34802893111,35290655553,34525729670,35508194914,35389010205,2420,0,0,19,0,0,0,0
2019-07-14T08:40:24.982192326Z,85273,28195,19,85271,285004227137,33555384433,35402758782,36292102679,35650176716,36134062150,35376892328,36358373743,36234476306,2420,0,0,19,0,0,0,0
2019-07-14T08:40:25.984849977Z,86275,28885,19,86273,291871558070,34413948372,36260510562,37150361957,36507047289,36992123153,36238099240,37219455657,37090025387,2420,0,0,19,0,0,0,0
2019-07-14T08:40:26.987164661Z,87278,29578,20,87276,298800727515,35279521689,37129160749,38018720974,37373005836,37856937228,37103962127,38086361499,37953057413,2420,0,0,19,0,0,0,0
2019-07-14T08:40:27.989937671Z,88280,30268,20,88278,305804249600,36153436621,38002537514,38894632339,38245660847,38731351677,37981939529,38963991578,38830699495,2420,0,0,19,0,0,0,0
2019-07-14T08:40:28.992645599Z,89283,30985,20,89281,312883387292,37038264275,38886662664,39779692718,39129303533,39609863634,38869586932,39851691344,39718322192,2420,0,0,19,0,0,0,0
2019-07-14T08:40:29.99559271Z,90286,31698,20,90284,320040026103,37933126060,39777394590,40675104127,40024789929,40507270853,39766327337,40739851356,40616228651,2420,0,0,19,0,0,0,0
2019-07-14T08:40:30.997219599Z,91289,32413,21,91286,327200206808,38828686415,40678455666,41576168304,40922499427,41414766840,40657581149,41633091323,41506899796,2420,0,0,19,0,0,0,0
2019-07-14T08:40:32.000178286Z,92290,33116,21,92289,334400109226,39718948030,41562840467,42488817271,41812954254,42311365438,41556505149,42538945810,42409732807,2420,0,0,19,0,0,0,0
2019-07-14T08:40:33.002926355Z,93293,33840,23,93291,341592666407,40627309366,42425496562,43391046326,42719657534,43211287243,42449491117,43449898142,43318480117,2420,0,0,19,0,0,0,0
2019-07-14T08:40:34.004297564Z,94294,34557,24,94293,348838048264,41541076129,43333771921,44294057849,43606020484,44118268080,43356041546,44342243591,44246568664,2420,0,0,19,0,0,0,0
2019-07-14T08:40:35.006469666Z,95297,35300,24,95295,356321547028,42469655411,44272848168,45232106801,44537947765,45060925051,44282786965,45275063950,45190212917,2420,0,0,19,0,0,0,0
2019-07-14T08:40:36.018295029Z,96309,36069,25,96307,363953463415,43419639226,45234430453,46188378394,45503596234,46015923083,45223862024,46218725220,46148908781,2420,0,0,19,0,0,0,0
2019-07-14T08:40:37.021554043Z,97312,36834,27,97310,371640116755,44375193212,46203728360,47150862940,46469229067,46979082601,46168147221,47184444294,47109429060,2420,0,0,19,0,0,0,0
2019-07-14T08:40:38.024222662Z,98317,37546,30,98313,378784763693,45345813126,47181476462,48015622844,47241467694,47891668236,47029712792,48115309415,47963693124,2420,0,0,19,0,0,0,0
2019-07-14T08:40:39.026820428Z,99318,38339,30,99315,386659008956,46337655245,48175719630,49001607865,48227091131,48858046366,48013333490,49087239308,48958315921,2420,0,0,19,0,0,0,0
2019-07-14T08:40:40.03041058Z,100321,39067,32,100319,393942260341,47254896226,49098227030,49921935567,49143193422,49751623708,48921624675,49975907929,49874851784,2420,0,0,19,0,0,0,0
